State,Suburb,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
VIC,Timboon West,0,0,4,4,10,16,0,3,0,3,16,54
VIC,Timmering,0,0,3,5,12,24,0,4,0,8,31,96
VIC,Timor (Vic.),0,0,10,4,7,17,0,13,0,11,5,59
VIC,Timor West,0,0,3,6,4,11,0,7,0,0,0,23
VIC,Tinamba,4,5,7,18,56,87,0,15,5,28,45,271
VIC,Tinamba West,0,0,8,3,6,14,0,0,4,3,8,53
VIC,Tintaldra,0,0,0,6,20,14,0,9,0,6,6,58
VIC,Tittybong,0,0,0,0,0,5,0,0,0,0,0,5
VIC,Tol Tol,0,0,8,4,21,39,0,17,4,28,20,139
VIC,Tolmie,8,8,41,38,85,107,0,20,7,79,55,448
VIC,Tom Groggin,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Tongala,6,6,79,106,323,548,7,225,44,190,401,1927
VIC,Tonghi Creek,0,0,0,0,0,5,0,0,0,0,0,7
VIC,Tongio,0,0,12,9,8,11,0,5,3,8,7,64
VIC,Tonimbuk,0,0,27,24,41,44,0,16,3,18,38,212
VIC,Tooan,0,0,3,0,0,8,0,0,0,0,5,20
VIC,Tooborac,6,5,30,18,51,84,4,35,3,32,47,309
VIC,Toolamba,21,20,75,44,132,189,0,44,11,60,177,768
VIC,Toolamba West,0,0,4,10,18,30,0,5,0,10,30,117
VIC,Toolangi,11,8,21,18,59,87,0,20,3,49,50,343
VIC,Toolern Vale,7,7,46,58,131,199,0,48,21,62,132,724
VIC,Toolleen,3,4,8,9,31,48,0,19,3,23,32,180
VIC,Toolome,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Toolondo,0,0,5,0,6,16,0,5,3,7,10,58
VIC,Toolong,4,7,5,5,8,20,0,14,4,8,13,90
VIC,Toombon,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Toongabbie (Vic.),9,14,58,66,197,267,0,78,13,58,222,992
VIC,Toora (Vic.),10,8,42,41,141,190,0,72,17,72,99,681
VIC,Toora North,9,6,7,7,22,31,0,11,0,10,11,101
VIC,Tooradin,10,13,75,82,288,395,0,115,29,168,398,1567
VIC,Toorak,1318,350,3683,1070,524,2773,0,296,306,1153,1435,12912
VIC,Toorloo Arm,3,10,22,18,64,83,5,40,11,33,81,361
VIC,Toorongo,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Tootgarook,23,35,180,202,486,751,5,272,75,302,545,2870
VIC,Torquay (Vic.),493,360,2037,1250,1697,2729,7,526,245,822,3091,13259
VIC,Torrita,0,0,3,0,0,8,0,13,0,3,3,34
VIC,Torrumbarry,0,0,17,11,57,69,0,27,4,35,51,278
VIC,Torwood,3,3,6,4,5,5,0,4,0,6,20,48
VIC,Tostaree,0,0,0,3,3,5,0,0,0,4,0,20
VIC,Tottenham (Vic.),0,0,0,0,3,0,0,0,0,0,0,7
VIC,Tottington,0,0,0,0,0,0,0,0,0,0,0,4
VIC,Tourello,3,3,3,3,5,9,0,8,0,3,7,43
VIC,Towan,0,0,0,0,0,4,0,0,0,4,3,9
VIC,Towaninny,0,0,0,0,5,3,0,0,0,0,5,17
VIC,Towaninny South,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Tower Hill,0,0,9,9,9,21,0,4,0,19,10,84
VIC,Towong,7,0,11,7,28,32,0,17,3,11,13,132
VIC,Towong Upper,0,0,8,6,0,4,0,0,0,4,12,34
VIC,Trafalgar (Vic.),57,75,278,267,694,930,11,359,79,391,778,3911
VIC,Trafalgar East,3,9,29,31,82,96,0,33,5,48,98,427
VIC,Trafalgar South,11,13,21,19,51,74,0,16,8,15,48,275
VIC,Tragowel,0,0,0,5,18,34,0,7,0,11,17,107
